mce,cpu,socketid,apicid,cpu_type,bank,bank_name,addr,addr_name,misc,status,mce_mscod,mscod_dt_title,mscod_title,mcacod,mcacod_title,mce_valid,mce_overflow,mce_uc,mce_en,mce_miscv,mce_addrv,mce_pcc,mce_s,mce_ar,correctable_error_status,correctable_error_count,mce_other_info,advanced_advice,misc_detail_info,datetime,ip,ipv6,timestamp_db,fault_description,ipv4,issue,diagnose_result,fault_action,suggestion,fault_reason,version,fault_code
0,48,1,0x80,SPR,13,MEMORY,0x12f953a5500, System RAM,0x8004bc175538886,0xac000002001000c0,0x1,,UnCorr Patrol Scrub Error,0x1,IMC_ERROR(1LM MODE)|MEMORY SCRUBBING ERROR|CHANNEL_0,1,0,1,0,1,1,0,0x0,0x0,0x0,0,0x1,,"[['63:9', 'EXTRA_ERR_INFO', 'RESERVED', '0x40025e0baa9c4', ' --- '], ['8:6', 'ADDRESS_MODE', 'Defines the type of address captured in the MC5ADDR MSR. Set\nby hardware, Clear by programming', '0x2', 'Physical (system) Address'], ['5:0', 'REC_ERR_LSB', 'Captures the LSB of the reverse translation sparing and\nscrub address (16:12) for recoverable errors', '0x6', ' --- ']]",2024-04-16 01:10:58,,fdbd:dc01:2b:f20::33,1713202728,"Possible DDR, isolate DIMM. The patrol scrubber has detected an uncorrected error. Address is logged in MCx_Address. In the case of poison enabled mode (advanced SKUs only this error may be escalated to a CMCI and deferred. This would be spelled out in the S and AR bits of the MCi_STATUS banks. It may be logged and cleared by the OS.",,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE],  at  '{Core#48, Socket#1, Address@ System RAM}'",CPU1: DIMM Replacement; On repeated error same CPUx isolated DIMM. If "MISCV" is valid: the MCi_MISC register contains additional information regarding channel involved in the error.,HW_M2ME_[UnCorr Patrol Scrub Error]_CE. Unable to locate DIMM slot. Please check channel 0,HW.MCE.IMC:Uncorr_Patrol_Scrub_Error,1.0.1,iMC0Chn0:MSCOD.0x10
0,32,1,0x80,ICX,21,MEMORY,0x42e7d40b40, System RAM,0x8000a0119e80086,0xac000002001000c0,0x1,,UnCorr Patrol Scrub Error,0x1,IMC_ERROR|MEMORY SCRUBBING ERROR|CHANNEL_0,1,0,1,0,1,1,0,0x0,0x0,0x0,0,0x1,,"[['63:9', 'EXTRA_ERR_INFO', 'RESERVED', '0x40005008cf400', ' --- '], ['8:6', 'ADDRESS_MODE', 'Defines the type of address captured in the MC5ADDR MSR. Set\nby hardware, Clear by programming', '0x2', 'Physical (system) Address'], ['5:0', 'REC_ERR_LSB', 'Captures the LSB of the reverse translation sparing and\nscrub address (16:12) for recoverable errors', '0x6', ' --- ']]",2024-04-16 01:58:14,,fdbd:dc05:3:104::15,1713206439,"This failure has a potential to be either electrical or logical, manual decode required",,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE],  at  '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}', '{Core#32, Socket#1, Address@ System RAM}'",Contact your debug support,HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#1_MC#2_Chan#0_DIMM#0).,HW.ERR.MULTI:Multiple_Ch_Error_iMC2,1.0.1,iMC2Chn0:MSCOD.0x10
0,0,0,0x0,ICX,18,MEMORY,0x167cc00000, System RAM,0x8000004ff000086,0xac000002001000c1,0x1,,UnCorr Patrol Scrub Error,0x1,IMC_ERROR|MEMORY SCRUBBING ERROR|CHANNEL_1,1,0,1,0,1,1,0,0x0,0x0,0x0,0,0x1,,"[['63:9', 'EXTRA_ERR_INFO', 'RESERVED', '0x40000027f8000', ' --- '], ['8:6', 'ADDRESS_MODE', 'Defines the type of address captured in the MC5ADDR MSR. Set\nby hardware, Clear by programming', '0x2', 'Physical (system) Address'], ['5:0', 'REC_ERR_LSB', 'Captures the LSB of the reverse translation sparing and\nscrub address (16:12) for recoverable errors', '0x6', ' --- ']]",2024-04-16 03:19:51,10.208.167.18,fdbd:dc01:25:605::18,1713212240,"This failure has a potential to be either electrical or logical, manual decode required",10.208.167.18,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE],  at  '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}'",Contact your debug support,HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#1_Chan#1_DIMM#0).,HW.ERR.MULTI:Multiple_Ch_Error_iMC1,1.0.1,iMC1Chn1:MSCOD.0x10
0,0,0,0x0,CLX,7,MEMORY,0xf96a71280, System RAM,0x200005c2a7c02086,0xbc00000001010090,0x1,,DATA_READ_ERROR,0x1,Last level memory controller error.|Memory Read Error|Error on channel 0,1,0,1,1,1,1,0,0x0,0x0,0x0,0,0x0,,"[['63:63', 'MIRRORFAILOVER', 'An error occurred on a memory channel of the mirror channel\npair. The error was corrected by channel failover under\nmirroring.This implies a non-ECC-correctable error, and not\ncorrectable by mirror scrub on a channel', '0x0', ' --- '], ['62:62', 'MIRRORCORRERR', 'Error was corrected during mirroring and primary channel\nscrubbed successfully.', '0x0', ' --- '], ['61:60', 'DATAERRORCHUNK', 'Chunk containing data error: Cache line half on which the\ndata error occurred', '0x2', 'Data error signal came on 2nd half of cache line (non-critical chunk)'], ['59:59', 'MCCMDMIRRFO', 'MC command was to an already permanently failed over\nchannel/region', '0x0', ' --- '], ['58:58', 'MCCMDMIRRSEC', 'Error on secondary mirror channel', '0x0', ' --- '], ['57:57', 'MCCMDMIRRREGION', 'MC command was to an already permanently failed over\nchannel/region', '0x0', ' --- '], ['56:52', 'RSVD_56_52', 'Reserved', '0x0', ' --- '], ['51:50', 'MCCMDCHNL', 'Physical Memory Channel which had the error', '0x0', 'Ch0'], ['49:46', 'MCCMDMEMREGION', 'Memory Region Type', '0x0', 'Block region: 0|PMEM region: 0|1LM DDR4 access'], ['45:40', 'MCCMDOPCODE', 'Memory Controller Command Opcode', '0x5', 'MEMRDXTOI'], ['39:39', 'MCCMDVLD', 'Memory controller Command Valid', '0x1', 'McCmd logged'], ['38:38', 'SMIAD', 'Smi-Ad', '0x1', 'Txn from AD'], ['37:35', 'SMIMSGCLASS', ""Logged transaction's message class"", '0x0', 'Request message class'], ['34:31', 'SMIOPCODE', 'Mesh Opcode', '0x5', 'MemRdXtoI'], ['30:30', 'RSVD_30_30', 'Reserved', '0x0', ' --- '], ['29:21', 'TRKID', 'Mesh2mem Tracker Identifier', '0x13e', 'Physical Channel = 0x0, htid = 0x3e'], ['20:11', 'ERRORTYPE', 'Determined by error flow', '0x4', 'Txn could not be corrected by ECC'], ['13:9', 'RSVD_13_9', 'Reserved', '0x10', ' --- '], ['8:6', 'ADDRMODE', 'Address mode for the address logged in IA32_MCi_ADDR', '0x2', 'Physical Address'], ['5:0', 'ADDRLSB', 'Recoverable address LSB. The lowest valid recoverable\naddress bit', '0x6', ' --- ']]",2024-04-16 06:57:06,10.130.42.15,fdbd:dc03:3:105::15,1713222418,"Read Error. Read refers to one of MemSpecRd, MemRd, MemRdData, MemRdXtoI/S/A, MemInv*. mcacod has the channel number information isolate to the DIMM for further fault isolation.",10.130.42.15,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE],  at  '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}'",CPU0: DIMM Replacement; On repeated error same CPUx isolated DIMM. The MCACOD contains additional information regarding channel involved in the error.(0_imc0_ch0),HW_M2ME_[DATA_READ_ERROR]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#0_Chan#0_DIMM#0).HW_M2ME_[DATA_READ_ERROR]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#0_Chan#0_DIMM#0).HW_M2ME_[DATA_READ_ERROR]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#0_Chan#0_DIMM#0).HW_M2ME_[DATA_READ_ERROR]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#0_Chan#0_DIMM#0).HW_M2ME_[DATA_READ_ERROR]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#0_Chan#0_DIMM#0).HW_M2ME_[DATA_READ_ERROR]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#0_Chan#0_DIMM#0).HW_M2ME_[DATA_READ_ERROR]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#0_Chan#0_DIMM#0).,HW.MCE.M2M:Data_Read_Error_On_Channel_0,1.0.1,M2M0:MSCOD.0x1
0,48,0,0x1,CLX,1,CPU,0x397966fdc0, System RAM,0x86,0xbd80000000100134,0x1,,LOAD_POISON_0010_0134,0x1,LOAD_POISON_0010_0134,1,0,1,1,1,1,0,0x1,0x1,0x0,0,0x0,,"[['63:9', 'RSVD_63_9', 'RESERVED', '0x0', ' --- '], ['8:6', 'ADDRESS_MODE', 'This is used for all errors, correctable/uncorrectable and\npoison', '0x2', 'Error is encountered'], ['5:0', 'RECADDRLSB', 'This is used for all errors, correctable/uncorrectable and\npoison', '0x6', 'Error is encountered']]",2024-04-16 06:45:39,10.153.63.152,fdbd:dc01:2:201::152,1713223521,Poison Error.,10.153.63.152,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE], Intel decoded the address register in 'IOMEM MAP LOG', and found it belongs to 'System Ram'.",CPU0: Verify system have latest microcode. Need to debug poison source. Debug Poison Src; Possible Memory /PCIe. Contact your Intel representative to assist debugging poison error source.,HW_M2ME_[LOAD_POISON_0010_0134]_CE. Unable to locate channel and dimm.,HW.MCE.DCU:Uncorr_Load_Poison_0010_0134,1.0.1,CoreDCU:MSCOD.0x10
0,48,0,0x1,CLX,1,CPU,0xfa52b1280, System RAM,0x86,0xbd80000000100134,0x1,,LOAD_POISON_0010_0134,0x1,LOAD_POISON_0010_0134,1,0,1,1,1,1,0,0x1,0x1,0x0,0,0x0,,"[['63:9', 'RSVD_63_9', 'RESERVED', '0x0', ' --- '], ['8:6', 'ADDRESS_MODE', 'This is used for all errors, correctable/uncorrectable and\npoison', '0x2', 'Error is encountered'], ['5:0', 'RECADDRLSB', 'This is used for all errors, correctable/uncorrectable and\npoison', '0x6', 'Error is encountered']]",2024-04-16 07:43:14,10.130.42.15,fdbd:dc03:3:105::15,1713226018,Poison Error.,10.130.42.15,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE], Intel decoded the address register in 'IOMEM MAP LOG', and found it belongs to 'System Ram'.",CPU0: Verify system have latest microcode. Need to debug poison source. Debug Poison Src; Possible Memory /PCIe. Contact your Intel representative to assist debugging poison error source.,HW_M2ME_[LOAD_POISON_0010_0134]_CE. Please replace DIMM. (CPU_SrcID#0_MC#0_Chan#0_DIMM#0).,HW.MCE.DCU:Uncorr_Load_Poison_0010_0134,1.0.1,CoreDCU:MSCOD.0x10
0,0,0,0x0,ICX,25,MEMORY,0x18970109c0, System RAM,0x900060605c00886,0xac000002001000c0,0x1,,UnCorr Patrol Scrub Error,0x1,IMC_ERROR|MEMORY SCRUBBING ERROR|CHANNEL_0,1,0,1,0,1,1,0,0x0,0x0,0x0,0,0x1,,"[['63:9', 'EXTRA_ERR_INFO', 'RESERVED', '0x480030302e004', ' --- '], ['8:6', 'ADDRESS_MODE', 'Defines the type of address captured in the MC5ADDR MSR. Set\nby hardware, Clear by programming', '0x2', 'Physical (system) Address'], ['5:0', 'REC_ERR_LSB', 'Captures the LSB of the reverse translation sparing and\nscrub address (16:12) for recoverable errors', '0x6', ' --- ']]",2024-04-16 09:17:52,10.208.167.28,fdbd:dc01:25:605::28,1713230503,"This failure has a potential to be either electrical or logical, manual decode required",10.208.167.28,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE],  at  '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}', '{Core#0, Socket#0, Address@ System RAM}'",Contact your debug support,HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).HW_M2ME_[UnCorr Patrol Scrub Error]_CE-Storming. Please replace DIMM. (CPU_SrcID#0_MC#3_Chan#0_DIMM#0).,HW.ERR.MULTI:Multiple_Ch_Error_iMC3,1.0.1,iMC3Chn0:MSCOD.0x10
0,48,1,0x80,SPR,20,MEMORY,0xdafa6708c0, System RAM,0xb002a80df6a6086,0xac00000200a00091,0x1,,UnCorr Rd Error,0x1,IMC_ERROR(1LM MODE)|MEMORY READ ERROR|CHANNEL_1,1,0,1,0,1,1,0,0x0,0x0,0x0,0,0x1,,"[['63:9', 'EXTRA_ERR_INFO', 'RESERVED', '0x58015406fb530', ' --- '], ['8:6', 'ADDRESS_MODE', 'Defines the type of address captured in the MC5ADDR MSR. Set\nby hardware, Clear by programming', '0x2', 'Physical (system) Address'], ['5:0', 'REC_ERR_LSB', 'Captures the LSB of the reverse translation sparing and\nscrub address (16:12) for recoverable errors', '0x6', ' --- ']]",2024-04-16 11:28:36,,fdbd:dc05:11:426::15,1713240836,Potential signature match. uncorrectable and correctable errors when performing system stress.,,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE],  at  '{Core#48, Socket#1, Address@ System RAM}'",CPU1: Sighting is under investigation. Please contact ste oncall.,HW_M2ME_[UnCorr Rd Error]_CE. Unable to locate DIMM slot. Please check channel 1,HW.KNOWN_ISSUE:22014078492.UCE/CE_Memory_Errors_during_stress_testing,1.0.1,iMC3Chn1:MSCOD.0xa0
0,0,0,0x0,ICX,13,MEMORY,0x347cf45e80, System RAM,0x86,0xac00000000040405,0x1,,Wr BE parity Error,0x1,Parity error on structures,1,0,1,0,1,1,0,0x0,0x0,0x0,0,0x0,,"[['63:9', 'EXTRA_ERR_INFO', 'RESERVED', '0x0', ' --- '], ['8:6', 'ADDRESS_MODE', 'Defines the type of address captured in the MC5ADDR MSR. Set\nby hardware, Clear by programming', '0x2', 'Physical (system) Address'], ['5:0', 'REC_ERR_LSB', 'Captures the LSB of the reverse translation sparing and\nscrub address (16:12) for recoverable errors', '0x6', ' --- ']]",2024-04-16 13:32:14,10.211.168.215,fdbd:dc01:28:612::215,1713245750,Possible DDR; isolate DIMM. iMC an error occurred in the address/command parity error has been detected. This is detected by the DIMM and signaled back to the iMC. Note the channel number from the Mci_STATUS bank information and isolate to the DIMM for further fault isolation.,10.211.168.215,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE], Mixed issue, 'MEMORY SUB-SYSTEM ISSUE' caused 'CPU Internal(IFU | DCU | DTLB | MLC) Issue'.",CPU0: DIMM Replacement; On repeated error same CPUx isolated DIMM. If "MISCV" is valid: the MCi_MISC register contains additional information regarding channel involved in the error.,HW_M2ME_[Wr BE parity Error]_CE-Storming. Unable to locate channel and dimm.HW_M2ME_[Wr BE parity Error]_CE-Storming. Unable to locate channel and dimm.HW_M2ME_[Wr BE parity Error]_CE-Storming. Unable to locate channel and dimm.,HW.MCE.IMC:Wr_Be_Parity_Error,1.0.1,iMC0Chn0:MSCOD.0x4
0,23,1,0x3a,SKX,1,CPU,0x2c278c5f40, System RAM,0x86,0xbd80000000100134,0x1,,LOAD_POISON_0010_0134,0x1,LOAD_POISON_0010_0134,1,0,1,1,1,1,0,0x1,0x1,0x0,0,0x0,,"[['63:9', 'RSVD_63_9', 'RESERVED', '0x0', ' --- '], ['8:6', 'ADDRESS_MODE', 'This is used for all errors, correctable/uncorrectable and\npoison', '0x2', 'Error is encountered'], ['5:0', 'RECADDRLSB', 'This is used for all errors, correctable/uncorrectable and\npoison', '0x6', 'Error is encountered']]",2024-04-16 15:00:18,10.152.49.199,fdbd:dc01:1:146::199,1713251889,Poison Error.,10.152.49.199,MEMORY SUB-SYSTEM ISSUE,"There is a [MEMORY SUB-SYSTEM ISSUE], Intel decoded the address register in 'IOMEM MAP LOG', and found it belongs to 'System Ram'.",CPU1: Verify system have latest microcode. Need to debug poison source. Debug Poison Src; Possible Memory /PCIe. Contact your Intel representative to assist debugging poison error source.,HW_M2ME_[LOAD_POISON_0010_0134]_CE. Unable to locate channel and dimm.,HW.MCE.DCU:Uncorr_Load_Poison_0010_0134,1.0.1,CoreDCU:MSCOD.0x10
